Checkouts,Temp,Humidity,Rain_Intensity,Rain_Total,Hour,DOY,Weekday,Cubs_Game
23,2.3,85,0,92.7,20,340,MONDAY,X
36,-1.8,69,0,6.3,8,4,MONDAY,X
165,30.3,37,0,124.9,17,190,FRIDAY,X
226,21.2,68,0,26.4,15,151,MONDAY,D
27,6.3,70,0,38.9,16,330,FRIDAY,X
59,22.5,68,0,319.2,21,262,SUNDAY,D
10,20.1,79,0,48.3,3,157,SUNDAY,D
119,23.1,88,0,157.4,8,204,FRIDAY,X
58,23.6,47,0,47.8,21,155,FRIDAY,D
31,24.3,91,0.6,207.2,12,225,FRIDAY,D
3,21.5,90,5.4,275.8,5,240,SATURDAY,X
7,22.5,49,0,69.8,4,173,TUESDAY,N
4,5.4,65,0,4.8,23,37,SATURDAY,X
113,10.5,62,0,402.4,8,299,TUESDAY,X
38,-0.6,60,0,32.4,6,326,MONDAY,X
89,31.2,54,0,124.9,13,193,MONDAY,X
53,26.2,79,0,303.1,14,243,TUESDAY,N
70,24.7,80,0,157.4,9,204,FRIDAY,X
1,3.8,66,0,22.8,0,60,MONDAY,X
106,23.6,83,0,201.3,20,214,MONDAY,N
3,2.3,84,0,129.3,19,359,SATURDAY,X
8,-0.4,66,0,6.5,11,5,TUESDAY,X
23,22.9,82,0,328.4,0,267,FRIDAY,D
0,4.9,88,0,25.9,3,92,FRIDAY,X
53,15.2,75,0,27.7,13,313,TUESDAY,X
82,16.8,86,0,353.9,18,276,SUNDAY,X
2,-16.7,55,0,41.8,2,18,MONDAY,X
7,-11.8,48,0,127.5,11,354,MONDAY,X
1,4.5,51,0,7.6,2,99,FRIDAY,X
11,1.6,86,0,92.7,10,340,MONDAY,X
28,20.8,95,0,328.4,5,267,FRIDAY,D
0,3.1,89,0,129.3,3,359,SATURDAY,X
36,10.1,69,0,17.4,10,305,MONDAY,X
83,16.1,62,0,376.5,18,283,SUNDAY,X
137,25.2,90,0,201.4,7,225,FRIDAY,D
130,30.2,59,0,124.9,20,193,MONDAY,X
0,0.7,74,0,5.4,2,85,FRIDAY,X
36,2.7,61,0,29.4,17,93,SATURDAY,X
14,12.4,68,0,26,7,310,SATURDAY,X
72,24.8,74,0,271.1,15,238,THURSDAY,X
113,23.6,71,0,400.2,8,292,TUESDAY,X
189,27.4,67,0,194.6,17,209,WEDNESDAY,N
0,8.1,52,0,31.8,3,97,WEDNESDAY,X
21,1.7,69,0,14.7,11,54,TUESDAY,X
57,29.6,66,0,157.4,22,204,FRIDAY,X
5,-2.4,57,0,32.4,5,325,SUNDAY,X
10,18.2,75,0,254.9,4,234,SUNDAY,X
50,12.4,74,0,27.7,20,320,TUESDAY,X
14,-11.1,66,0,34.5,17,10,SUNDAY,X
2,16.1,87,0,22.3,4,91,THURSDAY,X
3,10.9,72,0,27.7,2,321,WEDNESDAY,X
71,20,88,0,80.9,13,175,THURSDAY,X
160,28.7,49,0,59,14,163,SATURDAY,X
1,6.1,95,0,130.9,1,361,MONDAY,X
12,4.3,86,0,6.7,5,8,FRIDAY,X
7,-10.5,58,0,39.5,16,12,TUESDAY,X
34,24.3,69,1.2,328.1,15,265,WEDNESDAY,N
10,4.3,46,0,135.1,19,361,MONDAY,X
0,16.3,57,0,26,3,313,TUESDAY,X
1,-2.1,60,0,43.2,3,24,SUNDAY,X
1,2,70,0,135.1,4,364,THURSDAY,X
2,19.6,75,0,353.9,2,279,WEDNESDAY,X
224,27.3,36,0,319.2,18,261,SATURDAY,D
99,16.9,77,0,34.8,17,69,WEDNESDAY,X
81,27.1,72,0,124.9,9,190,FRIDAY,X
3,6.1,91,0,14.4,4,9,SATURDAY,X
37,24,91,0,197.6,23,210,THURSDAY,N
5,-12.7,52,0,120.7,11,350,THURSDAY,X
180,24.5,70,0,201.4,18,220,SUNDAY,X
12,-10.6,50,0,120.7,20,348,TUESDAY,X
55,26.5,63,0,83.1,10,187,TUESDAY,D
38,8,64,0,38.9,13,331,SATURDAY,X
39,7.1,94,0,49,13,74,MONDAY,X
12,-4,49,0,127.5,9,355,TUESDAY,X
163,15.2,68,0,49.1,7,159,TUESDAY,X
18,10.7,92,0,13.1,20,300,WEDNESDAY,X
32,23.2,87,0,305,23,243,TUESDAY,N
25,7.8,89,0,38.7,18,328,WEDNESDAY,X
5,21.7,86,0,201.3,5,213,SUNDAY,N
16,-0.9,81,0,12.4,16,46,MONDAY,X
7,24.1,80,0,241.6,1,232,FRIDAY,X
92,23.2,69,0,201.4,9,220,SUNDAY,X
39,2.3,81,0,33.6,15,65,SATURDAY,X
157,24.3,80,0,201.3,19,214,MONDAY,N
0,-17.3,57,0,127.5,3,354,MONDAY,X
5,1.2,88,0,99.9,14,346,SUNDAY,X
157,10.4,73,0,3.5,14,107,SATURDAY,D
44,7.4,65,0,38.9,12,331,SATURDAY,X
53,20.5,43,0,0,9,144,MONDAY,X
25,19.2,93,0.6,372.3,12,280,THURSDAY,X
38,23.8,64,0,305.6,22,248,SUNDAY,D
31,1.7,54,0,44.4,16,27,WEDNESDAY,X
76,8.9,59,0,27.7,8,319,MONDAY,X
48,12,49,0,27.7,15,314,WEDNESDAY,X
175,22.2,67,0,124.9,18,191,SATURDAY,X
42,14.7,48,0,376.5,21,281,FRIDAY,X
107,27.4,52,0,201.4,16,222,TUESDAY,N
10,13.3,78,0,26,23,308,THURSDAY,X
9,-11.9,61,0,39.5,20,12,TUESDAY,X
64,27.4,64,0,124.9,9,193,MONDAY,X
6,5.4,80,0,38.9,1,332,SUNDAY,X
0,7.4,90,0,12.9,3,123,MONDAY,X
6,1.5,88,1.2,100.9,15,346,SUNDAY,X
81,26.5,77,0,201.3,15,215,TUESDAY,N
6,19.8,87,0,328.4,3,268,SATURDAY,D
27,7.7,75,0,38.9,19,331,SATURDAY,X
34,14.5,51,0,27.7,22,315,THURSDAY,X
28,5.8,79,0,9.6,11,89,TUESDAY,X
29,23.5,59,0,305.6,0,249,MONDAY,X
230,25.8,76,0,83.1,16,178,SUNDAY,X
23,9.9,60,0.6,33.6,8,97,WEDNESDAY,X
115,26.6,61,0,201.3,22,215,TUESDAY,N
0,17.6,77,0,353.9,2,277,MONDAY,X
210,21.5,63,0,59,17,165,MONDAY,X
154,22.2,76,0,317,22,259,THURSDAY,N
46,2.6,70,0,4.6,17,34,WEDNESDAY,X
